code,metrics,index_score
ARE,Share of total enrollment scaled,35.15989838
GBR,Share of total enrollment scaled,56.94606207
USA,Share of total enrollment scaled,62.45375421
AUS,Skill Penetration Index scaled,23.86383082
AUT,Skill Penetration Index scaled,0.0
BEL,Skill Penetration Index scaled,21.73922964
BRA,Skill Penetration Index scaled,21.80539764
CAN,Skill Penetration Index scaled,31.96826978
CHN,Skill Penetration Index scaled,59.67136561
DNK,Skill Penetration Index scaled,18.50308214
FIN,Skill Penetration Index scaled,25.29937216
FRA,Skill Penetration Index scaled,34.31951538
DEU,Skill Penetration Index scaled,0.0
IND,Skill Penetration Index scaled,100.0
IRL,Skill Penetration Index scaled,27.59433693
ISR,Skill Penetration Index scaled,46.88573091
ITA,Skill Penetration Index scaled,18.17832656
JPN,Skill Penetration Index scaled,0.0
NLD,Skill Penetration Index scaled,22.58534341
NOR,Skill Penetration Index scaled,19.84925865
PRT,Skill Penetration Index scaled,15.08820498
RUS,Skill Penetration Index scaled,0.0
SGP,Skill Penetration Index scaled,32.26488495
ZAF,Skill Penetration Index scaled,13.72871881
ESP,Skill Penetration Index scaled,34.00464697
SWE,Skill Penetration Index scaled,21.34488358
CHE,Skill Penetration Index scaled,25.983868700000002
ARE,Skill Penetration Index scaled,15.086303599999999
GBR,Skill Penetration Index scaled,34.73287523
USA,Skill Penetration Index scaled,75.62279678
AUS,Total number of hires on LinkedIn scaled,5.904071833
AUT,Total number of hires on LinkedIn scaled,0.0
BEL,Total number of hires on LinkedIn scaled,1.962245835
BRA,Total number of hires on LinkedIn scaled,5.260968296000001
CAN,Total number of hires on LinkedIn scaled,12.02828962
CHN,Total number of hires on LinkedIn scaled,3.811818544
DNK,Total number of hires on LinkedIn scaled,2.374802822
FIN,Total number of hires on LinkedIn scaled,1.8755741999999997
FRA,Total number of hires on LinkedIn scaled,11.29158072
DEU,Total number of hires on LinkedIn scaled,11.45972369
IND,Total number of hires on LinkedIn scaled,50.69250637
IRL,Total number of hires on LinkedIn scaled,2.241328503
ISR,Total number of hires on LinkedIn scaled,2.4857425159999997
ITA,Total number of hires on LinkedIn scaled,4.8605453380000005
JPN,Total number of hires on LinkedIn scaled,0.0
NLD,Total number of hires on LinkedIn scaled,5.938740488
NOR,Total number of hires on LinkedIn scaled,0.0
PRT,Total number of hires on LinkedIn scaled,1.561822878
RUS,Total number of hires on LinkedIn scaled,0.0
SGP,Total number of hires on LinkedIn scaled,3.076843072
ZAF,Total number of hires on LinkedIn scaled,0.951654562
ESP,Total number of hires on LinkedIn scaled,6.912929675
SWE,Total number of hires on LinkedIn scaled,3.319523653
CHE,Total number of hires on LinkedIn scaled,3.156580977
ARE,Total number of hires on LinkedIn scaled,0.0
GBR,Total number of hires on LinkedIn scaled,14.87805301
USA,Total number of hires on LinkedIn scaled,100.0
